name;m;sigma;u;ref
m-nitrotoluene;3.55;3.672;331.95;[2]
m-xylene;3.19;3.756;283.98;[4]
naphthalene;3.01;3.913;353.63;[2]
n-butanal;2.98;3.434;253.62;[6]
n-butyl ethanoate;3.98;3.543;242.52;[4]
n-butylbenzene;3.77;3.873;283.07;[4]
n-decanal;5.51;3.601;248.13;[12]
n-dodecanal;6.06;3.714;252.11;[12]
neopentane;2.35;3.955;225.69;[4]
n-heneicosane;8.3;3.994;259.64;[1]
n-heptanal;4.25;3.549;249.76;[12]
n-hexanal;3.68;3.542;256.13;[12]
nitrobenzene;3.14;3.642;344.88;[2]
nitroethane;3.02;3.214;286.57;[6]
nitromethane;2.66;3.08;305.98;[6]
n-nonanal;5.04;3.582;249.62;[13]
nonadecane;7.72;3.972;256;[4]
nonane;4.21;3.845;244.51;[4]
nonyl acetate;6.84;3.495;227.63;[2]
n-propyl ethanoate;3.79;3.423;235.76;[4]
n-propyl methanoate;3.21;3.417;246.46;[4]
n-propyl propanoate;4.12;3.488;235.6;[4]
n-propylbenzene;3.34;3.844;288.13;[4]
n-tetradecanal;8.26;3.492;240.6;[12]
n-tricosane;9.09;3.989;258.18;[1]
n-tridecanal;7.35;3.682;248.02;[12]
octacosane;11.08;3.979;255.62;[2]
octadecane;7.33;3.967;256.2;[4]
octane;3.82;3.837;242.78;[4]
octyl acetate;5.96;3.56;236.43;[2]
o-dichlorobenzene;2.84;3.847;338.4;[2]
o-dinitrobenzene;6.28;3.051;297.61;[2]
o-nitrotoluene;3.99;3.501;306.03;[2]
o-xylene;3.14;3.76;291.05;[4]
p-bromotoluene;3.35;3.708;308.97;[2]
p-dinitrobenzene;6.42;3.043;283.69;[2]
p-dioxane;2.97;3.376;275.88;[2]
pentadecane;6.29;3.953;254.14;[4]
pentane;2.69;3.773;231.2;[4]
pentyl acetate;4.71;3.473;234.57;[2]
propadiene;1.55;3.708;257.73;[2]
propanal;2.68;3.263;251.89;[6]
propane;2;3.618;208.11;[4]
propionic anhydride;4.81;3.322;244.8;[2]
propionitrile;2.66;3.34;294.08;[6]
propyl benzoate;4.67;3.653;281.56;[2]
propylcyclohexane;3.28;4.05;285.91;[2]
propylcyclopentane;3.26;3.904;270.48;[2]
propylene;1.96;3.536;207.19;[4]
p-tert-butylstyrene;3.86;4.049;303.56;[2]
p-tolualdehyde;4.17;3.426;289.34;[2]
p-xylene;3.17;3.778;283.77;[4]
sec-butyl acetate;4.14;3.474;228.31;[2]
silane;1.24;3.894;191.99;[2]
sulfur dioxide;2.86;2.683;205.35;[4]
terephthaldehyde;5.16;3.109;286.91;[2]
tert-butylbenzene;3.45;3.967;287.79;[2]
tetrachlorosilane;2.73;3.768;246.27;[2]
tetracosane;9.68;3.971;254.69;[2]
tetradecane;5.9;3.94;254.21;[4]
tetraethylsilane;3.74;4.072;259.04;[2]
tetrahydrofuran;2.26;3.608;291.87;[11]
tetralin;3.31;3.875;325.07;[4]
tetramethylsilane;2.74;3.915;217.89;[2]
thiophene;2.56;3.457;288.13;[14]
toluene;2.82;3.717;285.69;[4]
trans-decahydronaphthalene;2.95;4.237;325.91;[2]
trichloromethane;2.53;3.461;269.47;[15]
trichlorosilane;2.49;3.689;241.65;[2]
tridecane;5.69;3.914;249.78;[4]
trimethylchlorosilane;2.91;3.812;235.77;[2]
trimethylsilane;2.24;3.996;230.66;[2]
trinitromethane;4.1;3.229;290.53;[2]
undecane;4.91;3.889;248.82;[4]
vinyl acetate;3.47;3.467;231.45;[2]
vinyl methyl ether;2.71;3.243;215.05;[2]
vinylcyclohexene;2.85;3.973;291.41;[2]
